date,total_bytes,tcp_udp_icmp_rate,ipaddr_top
2005-01-01,1562599468,90.75%-7.61%-0.57%,29.7%-13.2%-9.1%-7.8%-4.9%
2005-01-02,1500506301,91.12%-7.79%-0.46%,43.4%-8.3%-3.9%-3.2%-2.9%
2005-01-03,2025860288,91.87%-6.01%-0.56%,29.6%-9.5%-4.9%-3.6%-3.3%
2005-01-04,2166311174,90.48%-7.11%-0.41%,25.3%-6.1%-5.6%-4.9%-3.1%
2005-01-04,2166311174,90.48%-7.11%-0.41%,25.3%-6.1%-5.6%-4.9%-4.5%
2005-01-04,2166311174,90.48%-7.11%-0.41%,25.3%-6.1%-5.6%-4.9%-4.5%
2005-01-05,2188812412,92.16%-5.44%-0.37%,21.1%-8.9%-6.7%-6.3%-5.8%
2005-01-06,2972491720,91.78%-6.32%-0.26%,12.6%-10.7%-10.7%-5.5%-5.5%
2005-01-07,2813796192,92.63%-5.88%-0.29%,18.5%-8.6%-8.5%-3.2%-2.8%
2005-01-08,2551171464,90.11%-7.28%-0.33%,20.8%-6.6%-6.3%-6.2%-4.6%
2005-01-09,1437995443,87.19%-11.78%-0.53%,36.3%-6.2%-4.3%-3.2%-3.2%
2005-01-10,2203978781,88.61%-8.62%-0.55%,29.4%-7.2%-5.9%-5.1%-4.1%
2005-01-11,2789929151,93.08%-4.88%-0.30%,15.3%-4.5%-4.2%-3.7%-3.3%
2005-01-12,3181620783,91.54%-6.80%-0.35%,18.0%-4.7%-4.3%-4.1%-4.0%
2005-01-13,3071810788,91.47%-6.40%-0.44%,15.9%-4.9%-4.2%-3.5%-2.9%
2005-01-14,3079317291,92.48%-6.07%-0.45%,16.8%-5.8%-5.5%-5.5%-4.8%
2005-01-15,2267582485,90.84%-6.55%-0.50%,23.8%-5.5%-5.5%-5.4%-3.4%
2005-01-16,1514344418,88.40%-9.73%-0.71%,31.9%-7.7%-4.5%-4.3%-3.4%
2005-01-17,2985381807,92.03%-6.24%-0.30%,15.3%-4.5%-4.0%-3.9%-2.9%
